GENE_SYMBOL,NUM_PATHWAYS
TICAM2,7
TIAM1,7
CLDN3,7
CLDN25,7
CLDN24,7
CLDN23,7
CLDN22,7
CLDN20,7
CLDN2,7
CLDN19,7
CLDN18,7
CLDN17,7
CLDN8,7
CLDN7,7
CLDN6,7
CLDN5,7
CLDN4,7
CLDN34,7
ABAT,7
CYP2B6,7
OAS2,7
OAS1,7
ABCC1,6
NXF2B,6
NXF3,6
YWHAG,6
YWHAH,6
CYP17A1,6
NPR2,6
CYP3A5,6
CXCR1,6
BDKRB1,6
KL,6
RASGRP2,6
KCNMA1,6
KCNQ1,6
KEAP1,6
CYP7A1,6
STAT4,6
DAXX,6
CTH,6
DCTN5,6
DCTN4,6
DCTN2,6
DCTN1,6
BCL10,6
GABRR1,6
GABRQ,6
GCG,6
GABRG1,6
GABRE,6
GABRD,6
AKR1B1,6
TLR6,6
TLR5,6
G6PD,6
SGK1,6
GABRP,6
GABRG3,6
GABRG2,6
GABARAPL2,6
GABARAPL1,6
GFPT1,6
GHR,6
GH2,6
GH1,6
GLDC,6
GLA,6
ADORA2B,6
ADIPOR2,6
ADIPOR1,6
TEK,6
SLC32A1,6
FASN,6
NCK2,6
CHEK1,6
GABRR3,6
GABRR2,6
TNNT2,6
TNN,6
AMT,6
MSN,6
GLYCTK,6
PLAU,6
COL2A1,6
EPHX2,6
ERBB4,6
SELP,6
GMPPB,6
GMPPA,6
TNC,6
CGAS,6
GCSH,6
GFPT2,6
ANGPT1,6
ANAPC5,6
MITF,6
MLYCD,6
MMUT,6
SCP2,6
GPX8,6
GPX7,6
SMURF2,6
SMURF1,6
TNXB,6
TNR,6
SDSL,6
SDS,6
SDC1,6
ALDH6A1,6
GPX6,6
GPX5,6
GPX3,6
GPX2,6
GPX1,6
GPT2,6
GPT,6
CD8B2,6
CD8B,6
CD8A,6
GRK3,6
GRK2,6
TPM4,6
ACTC1,6
XDH,6
ANGPT2,6
PRL,6
PRKN,6
SCD,6
CCR3,6
GSTK1,6
ADAM17,6
EGR1,6
EIF4E,6
EIF4E2,6
EIF4E1B,6
ELMO1,6
TPM2,6
TPI1,6
SCD5,6
CD44,6
WAS,6
CCL20,6
MDH2,6
RUNX1,6
RRM1,6
ARG2,6
ARG1,6
ACSBG2,6
ACSBG1,6
EFNA1,6
TBPL2,6
TBPL1,6
TBP,6
PDIA3,6
PSEN1,6
APOA1,6
PRLR,6
TANK,6
EDNRB,6
EFNA5,6
EFNA4-EFNA3,6
HPGDS,6
CBR1,6
EFNA4,6
EFNA3,6
EFNA2,6
CPS1,6
ACSS2,6
ACSS1,6
ACE,6
PTCH1,6
MC2R,6
CAV2,6
NME2,6
ATF6,6
MALT1,6
PYGB,6
HSD3B2,6
HSD3B1,6
TSHR,6
TSHB,6
HTR2C,6
HTR2B,6
HTR2A,6
PTGER3,6
NME1-NME2,6
NME1,6
ACADM,6
TAT,6
DLL1,6
DLG1,6
C5AR1,6
RAB7B,6
ATG12,6
IFIH1,6
PYGM,6
PYGL,6
LPAR5,6
CRH,6
CS,6
DRD5,6
NME7,6
NME6,6
NME4,6
NME3,6
DGKQ,6
DGKK,6
DGKI,6
C4B_2,6
IL12RB1,6
IL10RB,6
DGKH,6
DGKG,6
DGKE,6
DGKD,6
DGKB,6
DGKA,6
DHFR2,6
DHFR,6
DLL4,6
DLL3,6
IL3RA,6
LHCGR,6
IL10RA,6
IL17A,6
C9,6
C8G,6
C8B,6
C8A,6
C4B,6
C4A,6
C2,6
C1R,6
ACO2,6
ACO1,6
PDE3A,6
PDE2A,6
RASSF5,6
BAAT,6
LAMP2,6
LAMP1,6
RASGRP1,6
DCTN6,6
ST3GAL3,6
DGKZ,6
CSHL1,6
CSH2,6
CSH1,6
BMPR1A,6
TYMS,6
RALB,6
INPPL1,6
B2M,6
CYP2C19,6
NXF1,6
complement C4A (Rodgers blood group)-like,6
NXF2,6
glycine cleavage system H protein,6
NRBF2,6
NTRK2,6
CTSG,6
CTSB,6
RELN,6
RELB,6
RBPJL,6
RBPJ,6
RBL2,6
CX3CL1,6
STX1A,6
GABARAP,6
AKR1C8,6
AKR1C3,6
AKR1B15,6
SHH,6
MX2,6
MX1,6
FGB,6
FGA,6
AKR1B10,6
CLTCL1,6
CLTC,6
CLTB,6
CLTA,6
CYP11A1,6
CYLD,6
KAT2A,5
KAT2B,5
P2RY1,5
PAH,5
OXSM,5
OXTR,5
TYMP,5
JAG2,5
JAM2,5
JAM3,5
RPEL1,5
BLNK,5
ITCH,5
GALT,5
APPL1,5
GCLC,5
GCLM,5
TNFRSF11A,5
TNFRSF13C,5
PRPS1,5
PRPS1L1,5
PRPS2,5
GBA1,5
CHPT1,5
CHAD,5
NXT1,5
NXT2,5
STK4,5
OGDH,5
OGDHL,5
PAPSS1,5
PAPSS2,5
OPRM1,5
MGLL,5
PPP1R12B,5
PPP1R12C,5
PPP1R1B,5
SGCA,5
SGCB,5
CHRNB2,5
PPARD,5
WASF3,5
AOC3,5
SGCD,5
BNIP3,5
RPE,5
ABCC2,5
RPA1,5
RPA2,5
RPA3,5
SGCE,5
SGCG,5
SGCZ,5
PPID,5
VCP,5
VDR,5
CEBPB,5
CEL,5
DAO,5
NT5M,5
IRF1,5
CYP21A2,5
FUS,5
TLR7,5
CHRNA4,5
FUT8,5
TKFC,5
FSHB,5
AREG,5
GNA15,5
MECOM,5
AOC2,5
PARP1,5
STAR,5
DBT,5
CYTH1,5
ABCC4,5
NT5E,5
ANAPC2,5
ANAPC4,5
ANAPC7,5
